ï»¿Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
a,American History,,,,0.5,b,,,,0.5
a,American History,American Literature,,,0.5,b,,,,0.5
a,American History,American Literature,Italian Americana,,0.5,b,,,,0.5
a,American History,American Literature,Hungarian Journal of English and American Studies (HJEAS),,0.5,b,,,,0.5
a,American History,American Literature,Revue française d'études américaines,,0.5,b,,,,0.5
a,American History,American Literature,Amerikastudien / American Studies,,0.5,b,,,,0.5
a,American History,American Literature,Atlantis,,0.5,b,,,,0.5
a,American History,American Literature,South Pacificn Journal of American Studies,,0.5,b,,,,0.5
a,American History,American Literature,Journal of American Studies,,0.5,b,,,,0.5
a,American History,Local and Regional,,,0.5,b,,,,0.5
a,American History,Local and Regional,Western Historical Quarterly,,0.5,b,,,,0.5
a,American History,Local and Regional,New York History,,0.5,b,,,,0.5
a,American History,Local and Regional,Oregon Historical Quarterly,,0.5,b,,,,0.5
a,American History,Local and Regional,Pennsylvania Magazine of History and Biography,,0.5,b,,,,0.5
a,American History,Local and Regional,Pennsylvania Legacies,,0.5,b,,,,0.5
a,American History,Local and Regional,Pennsylvania History,,0.5,b,,,,0.5
a,American History,Local and Regional,Michigan Historical Review,,0.5,b,,,,0.5
a,American History,Local and Regional,Massachusetts Historical Review,,0.5,b,,,,0.5
a,American History,Local and Regional,Journal of the Illinois State Historical Society (1998-),,0.5,b,,,,0.5
a,American History,Local and Regional,Indiana Magazine of History,,0.5,b,,,,0.5
a,American History,Local and Regional,Southern California Quarterly,,0.5,b,,,,0.5
a,American History,Local and Regional,South Carolina Historical Magazine,,0.5,b,,,,0.5
a,History,,,,0.5,b,,,,0.5
a,History,Local,Peter,,0.5,b,,,,0.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
