•ÈÀCategory,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
a,19th Century and Civil War,Books,1816,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Brittle Sword,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Changing Wind,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Chosen Exile,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Civil War Round Table Quiz Book,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Communion of Shadows,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Consuming Fire,,1,b,,,,0.5
a,19th Century and Civil War,Books,"A Cultural History of Cuba during the U.S. Occupation, 1898-1902",,1,b,,,,0.5
a,19th Century and Civil War,Books,A Culture of Credit,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Damned Iowa Greyhound,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Faithful Account of the Race,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Fragile Freedom,,1,b,,,,0.5
a,19th Century and Civil War,Books,A General Who Will Fight,,1,b,,,,0.5
a,19th Century and Civil War,Books,A History in Sum,,1,b,,,,0.5
a,19th Century and Civil War,Books,A History of the Book in America,,1,b,,,,0.5
a,19th Century and Civil War,Books,"A History of the Negro Troops in the War of the Rebellion, 1861-1865",,1,b,,,,0.5
a,19th Century and Civil War,Books,A Home in the West,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Late Encounter with the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Law Unto Herself,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Misplaced Massacre,,1,b,,,,0.5
a,19th Century and Civil War,Books,A More Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,"A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",,1,b,,,,0.5
a,19th Century and Civil War,Books,A New England Prison Diary,,1,b,,,,0.5
a,19th Century and Civil War,Books,A New Moral Vision,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Perfect Picture of Hell,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Place Called Appomattox,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Political Nation,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Princeton Companion,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Rape in the Early Republic,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Rebel War Clerk's Diary,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Rebel War Clerk's Diary,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Remarkable Curiosity,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Republic in Time,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Respectable Woman,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Saga of the New South,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Scientific Way of War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Secret Society History of the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Selection of Modernized Recipes from Food in the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Selection of Modernized Recipes from Food in the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Separate Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Shattered Nation,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Store Almost in Sight,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Tenderfoot in Colorado,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Thrilling Narrative,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Thrilling Narrative of Indian Captivity,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Token of My Affection,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Tour of Reconstruction,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Union Forever,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Union Indivisible,,1,b,,,,0.5
a,19th Century and Civil War,Books,A Woman's Wartime Journal,,1,b,,,,0.5
a,19th Century and Civil War,Books,A World Not to Come,,1,b,,,,0.5
a,19th Century and Civil War,Books,A-Rafting on the Mississip’,,1,b,,,,0.5
a,19th Century and Civil War,Books,Abolitionist Politics and the Coming of the Civil War,,1,b,,,,0.5
a,19th Century and Civil War,Books,Abolitionists Remember,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Abolitionists, Doctors, Ranchers, and Writers",,1,b,,,,0.5
a,19th Century and Civil War,Books,Abraham Lincoln and Liberal Democracy,,1,b,,,,0.5
a,19th Century and Civil War,Books,Abraham Lincoln and White America,,1,b,,,,0.5
a,19th Century and Civil War,Books,"Abraham Lincoln, Esq.",,1,b,,,,0.5
a,19th Century and Civil War,Books,Across the Divide,,1,b,,,,0.5
a,19th Century and Civil War,Books,Act of Justice,,1,b,,,,0.5
a,19th Century and Civil War,Books,Acts of Conspicuous Compassion,,1,b,,,,0.5
a,19th Century and Civil War,Books,Adventures in the West,,1,b,,,,0.5
a,19th Century and Civil War,Books,African American Life in the Georgia Lowcountry,,1,b,,,,0.5
a,19th Century and Civil War,Books,After Emancipation,,1,b,,,,0.5
a,19th Century and Civil War,Books,Aiming for Pensacola,,1,b,,,,0.5
a,19th Century and Civil War,Books,Albert Sidney Johnston,,1,b,,,,0.5
